drugName,condition,rating,negative,positive,word_frequency
Acetaminophen / aspirin,Pain,9.0,1.0,0.0,"[('sore', 91), ('cold', 73), ('abreva', 63), ('day', 47), ('time', 40)]"
Acetaminophen / aspirin / caffeine,Migraine,9.5,22.0,4.0,"[('acne', 4), ('month', 3), ('result', 3), ('right', 2), ('almost', 2)]"
Acetaminophen / aspirin / caffeine / salicylamide,Migraine,9.5,2.0,0.0,"[('patient', 2), ('drug', 1), ('merely', 1), ('give', 1), ('feel', 1)]"
Acetaminophen / butalbital,Headache,10.0,2.0,2.0,"[('year', 34), ('campral', 25), ('day', 22), ('drinking', 21), ('drink', 21)]"
Acetaminophen / butalbital / caffeine,Headache,10.0,46.0,3.0,"[('acne', 18), ('face', 9), ('acanya', 9), ('not', 9), ('use', 8)]"
Acetaminophen / butalbital / caffeine / codeine,Headache,10.0,4.0,1.0,"[('side', 1), ('effect', 1), ('gas', 1), ('keep', 1), ('taking', 1)]"
Acetaminophen / caffeine,Headache,9.5,2.0,0.0,"[('year', 3), ('ever', 3), ('accolate', 2), ('medicine', 2), ('since', 2)]"
Acetaminophen / caffeine / dihydrocodeine,Pain,8.0,2.0,0.0,"[('acne', 144), ('accutane', 129), ('month', 127), ('skin', 109), ('dry', 73)]"
Acetaminophen / caffeine / isometheptene mucate,Headache,8.0,1.0,0.0,"[('dry', 5), ('not', 2), ('work', 2), ('blood', 2), ('nothing', 2)]"
Acetaminophen / caffeine / magnesium salicylate,Muscle Pain,10.0,0.0,1.0,"[('good', 1), ('medication', 1)]"
Acetaminophen / chlorpheniramine,Cold Symptoms,9.0,1.0,0.0,"[('pain', 4), ('not', 3), ('iv', 3), ('patient', 3), ('aspirin', 2)]"
Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Cold Symptoms,2.0,1.0,0.0,"[('tylenol', 1), ('nothing', 1), ('sciatica', 1), ('pain', 1), ('time', 1)]"
Acetaminophen / chlorpheniramine / phenylephrine,Cold Symptoms,10.0,1.0,0.0,"[('tried', 1), ('true', 1), ('fever', 1), ('reducer', 1), ('waste', 1)]"
Acetaminophen / codeine,Pain,5.5,23.0,5.0,"[('glad', 1), ('tried', 1), ('husband', 1), ('suggestion', 1), ('neck', 1)]"
Acetaminophen / dexbrompheniramine / pseudoephedrine,Sinus Symptoms,9.0,1.0,1.0,"[('migraine', 53), ('excedrin', 19), ('pain', 19), ('get', 14), ('work', 13)]"
Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Cold Symptoms,10.0,1.0,0.0,"[('job', 2), ('headache', 2), ('find', 1), ('excedrin', 1), ('not', 1)]"
Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Cold Symptoms,10.0,0.0,1.0,"[('disgruntled', 2), ('new', 1), ('packaging', 1), ('suck', 1), ('carpal', 1)]"
Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,8.0,1.0,0.0,"[('migraine', 6), ('excedrin', 4), ('salicylamide', 4), ('acetaminophen', 2), ('aspirin', 2)]"
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,9.0,15.0,1.0,"[('medication', 2), ('patient', 1), ('need', 1), ('combination', 1), ('try', 1)]"
Acetaminophen / diphenhydramine,Insomnia,10.0,3.0,1.0,"[('migraine', 9), ('take', 5), ('medication', 3), ('not', 3), ('would', 3)]"
Acetaminophen / hydrocodone,Pain,9.0,147.0,40.0,"[('headache', 52), ('migraine', 34), ('fioricet', 31), ('take', 27), ('medicine', 23)]"
Acetaminophen / oxycodone,Pain,9.0,113.0,40.0,"[('migraine', 7), ('one', 4), ('fioricet', 3), ('not', 3), ('pressure', 3)]"
Acetaminophen / pamabrom,Back Pain,9.5,2.0,2.0,"[('work', 2), ('headache', 2), ('thing', 1), ('really', 1), ('sleeplessness', 1)]"
Acetaminophen / phenylephrine,Sinus Symptoms,4.0,0.0,1.0,"[('use', 1), ('back', 1), ('pain', 1), ('better', 1), ('codeine', 1)]"
Acetaminophen / phenyltoloxamine,Headache,10.0,5.0,0.0,"[('jumpy', 3), ('migraine', 2), ('zomig', 2), ('work', 1), ('great', 1)]"
Acetaminophen / propoxyphene,Pain,9.0,16.0,1.0,"[('tell', 1), ('immediate', 1), ('difference', 1), ('using', 1), ('medication', 1)]"
Acetaminophen / tramadol,Pain,9.0,12.0,2.0,"[('cold', 2), ('not', 2), ('high', 2), ('blood', 2), ('pressure', 2)]"
Acetazolamide,Pseudotumor Cerebri,8.0,23.0,3.0,"[('day', 3), ('tylenol', 2), ('would', 2), ('two', 1), ('taking', 1)]"
Acetic acid / hydrocortisone,Otitis Externa,8.0,1.0,0.0,"[('best', 1), ('medication', 1), ('cold', 1), ('sinus', 1), ('problem', 1)]"
Acetylcysteine,Expectoration,5.5,0.0,2.0,"[('cold', 2), ('little', 2), ('medication', 1), ('found', 1), ('help', 1)]"
Acidophilus,Vaginal Yeast Infection,10.0,1.0,2.0,"[('great', 1), ('pain', 1), ('drug', 1), ('helped', 1), ('immensely,osteoarthritis', 1)]"
Aciphex,GERD,10.0,8.0,2.0,"[('pain', 39), ('not', 16), ('take', 14), ('work', 8), ('time', 8)]"
Acitretin,Psoriasis,8.0,1.0,0.0,"[('itchy', 3), ('taking', 1), ('medicine', 1), ('year', 1), ('first', 1)]"
Aclidinium,COPD,8.0,0.0,1.0,"[('stopped', 2), ('started', 1), ('taking', 1), ('drixoral', 1), ('year', 1)]"
Acnex,Acne,10.0,1.0,0.0,"[('combat', 1), ('relief', 1), ('cold', 1), ('symptom', 1), ('quickly', 1)]"
Acrivastine / pseudoephedrine,Allergic Rhinitis,10.0,0.0,1.0,"[('worked', 1), ('nothing', 1), ('else', 1), ('would', 1)]"
Actemra,Rheumatoid Arthritis,9.0,3.0,1.0,"[('best', 2), ('relieving', 2), ('symptom', 2), ('experience', 1), ('cold', 1)]"
Actifed,Allergic Rhinitis,7.0,1.0,0.0,"[('midrin', 22), ('migraine', 17), ('headache', 15), ('take', 9), ('taken', 9)]"
Actiq,Pain,10.0,1.0,2.0,"[('sleep', 3), ('take', 2), ('day', 2), ('night', 2), ('medicine', 1)]"
Activella,Postmenopausal Symptoms,10.0,2.0,1.0,"[('severe', 2), ('not', 1), ('cramp', 1), ('take', 1), ('edge', 1)]"
ActoPlus Met,"Diabetes, Type 2",10.0,0.0,1.0,"[('pain', 65), ('back', 29), ('take', 22), ('not', 13), ('work', 13)]"
Actonel,Osteoporosis,4.0,2.0,1.0,"[('cough', 14), ('year', 7), ('coughing', 6), ('work', 5), ('sleep', 5)]"
Actos,"Diabetes, Type 2",5.0,6.0,1.0,"[('pain', 178), ('norco', 47), ('take', 45), ('work', 39), ('vicodin', 36)]"
Acular LS,Corneal Refractive Surgery,9.0,1.0,0.0,"[('pain', 7), ('well', 3), ('active', 3), ('not', 3), ('vicodin', 2)]"
Acuvail,Postoperative Ocular Inflammation,9.0,1.0,0.0,"[('pain', 60), ('take', 20), ('not', 17), ('back', 17), ('work', 15)]"
Acyclovir,Herpes Simplex,9.0,31.0,8.0,"[('pain', 153), ('percocet', 67), ('take', 51), ('back', 38), ('work', 35)]"
Aczone,Acne,9.0,29.0,10.0,"[('pain', 7), ('back', 3), ('take', 3), ('took', 3), ('min', 3)]"
Adalat CC,High Blood Pressure,7.0,1.0,0.0,"[('quickly', 2), ('good', 1), ('easing', 1), ('pain', 1), ('wear', 1)]"
Adalimumab,Psoriasis,8.0,54.0,33.0,"[('headache', 5), ('percogesic', 4), ('help', 3), ('get', 2), ('migraine', 2)]"
Adapalene,Acne,8.0,33.0,29.0,"[('pain', 4), ('medicine', 3), ('year', 3), ('strength', 3), ('take', 3)]"
Adapalene / benzoyl peroxide,Acne,9.0,89.0,61.0,"[('pain', 18), ('not', 7), ('no', 7), ('medicine', 6), ('darvocet', 5)]"
Adcirca,Pulmonary Hypertension,4.5,2.0,0.0,"[('pain', 26), ('take', 11), ('not', 10), ('tramadol', 7), ('really', 7)]"
Adderall,ADHD,9.0,47.0,25.0,"[('much', 3), ('one', 3), ('medication', 2), ('since', 2), ('brain', 2)]"
Adderall XR,ADHD,9.0,21.0,14.0,"[('pressure', 5), ('side', 4), ('effect', 4), ('surgery', 3), ('tingling', 3)]"
Addyi,Hypoactive Sexual Desire Disorde,10.0,0.0,1.0,"[('paralysis', 2), ('acetazolamide', 2), ('potassium', 2), ('hypokalemic', 1), ('periodic', 1)]"
Adenosine,Supraventricular Tachycardia,9.0,2.0,0.0,"[('unable', 2), ('acclimate', 2), ('getting', 2), ('used', 1), ('generic', 1)]"
Adipex-P,Weight Loss,10.0,75.0,38.0,"[('day', 17), ('not', 16), ('side', 12), ('effect', 12), ('week', 11)]"
Adipost,Obesity,9.0,1.0,0.0,"[('thing', 1), ('work', 1), ('chronic', 1), ('otitis', 1), ('externa', 1)]"
Adoxa,Acne,9.0,0.0,1.0,"[('lung', 4), ('not', 3), ('drug', 2), ('albuterol', 2), ('bronchodilator', 2)]"
Advair Diskus,"Asthma, Maintenance",9.0,7.0,10.0,"[('yeast', 6), ('acidophilus', 3), ('product', 3), ('no', 3), ('help', 3)]"
Advair HFA,"COPD, Maintenance",9.0,2.0,0.0,"[('food', 2), ('work', 1), ('well', 1), ('manage', 1), ('without', 1)]"
Advicor,High Cholesterol,10.0,0.0,1.0,"[('rx', 1), ('helped', 1), ('immediately', 1), ('used', 1), ('one', 1)]"
Advil,Muscle Pain,8.0,6.0,1.0,"[('aciphex', 7), ('heartburn', 7), ('tried', 3), ('gerd', 3), ('time', 3)]"
Advil Cold and Sinus,Sinus Symptoms,10.0,2.0,1.0,"[('medication', 1), ('work', 1)]"
Advil Cold and Sinus Liqui-Gels,Sinus Symptoms,10.0,0.0,1.0,"[('flaking', 3), ('mg', 3), ('flare', 2), ('red', 2), ('top', 2)]"
Advil Liqui-Gels,Pain,10.0,1.0,1.0,"[('good', 1)]"
Adzenys XR-ODT,ADHD,1.0,1.0,2.0,"[('smoothed', 1), ('cleared', 1), ('face', 1), ('work', 1), ('like', 1)]"
Aerobid,Asthma,10.0,0.0,1.0,"[('semprex', 1), ('year', 1), ('care', 1), ('think', 1), ('old', 1)]"
Afinitor,Breast Cance,9.0,0.0,1.0,"[('medicine', 2), ('many', 1), ('different', 1), ('worked', 1), ('best', 1)]"
Aflibercept,Macular Degeneration,10.0,2.0,2.0,"[('year', 4), ('heart', 4), ('no', 3), ('side', 3), ('actemra', 3)]"
Afrezza,"Diabetes, Type 1",10.0,4.0,4.0,"[('effective', 1), ('treating', 1), ('respiratory', 1), ('allergy', 1), ('symptom', 1)]"
Afrin,Nasal Congestion,3.0,10.0,3.0,"[('medication', 2), ('pain', 2), ('along', 1), ('long', 1), ('acting', 1)]"
Afrin 4 Hour Extra Moisturizing,Nasal Congestion,8.0,1.0,0.0,"[('pain', 5), ('nerve', 3), ('actiq', 3), ('would', 3), ('morphine', 2)]"
Aftera,Emergency Contraception,10.0,14.0,1.0,"[('migraine', 4), ('medication', 3), ('hot', 2), ('flash', 2), ('relieved', 2)]"
Aggrenox,"Ischemic Stroke, Prophylaxis",1.0,1.0,0.0,"[('taking', 1), ('actosplus', 1), ('met', 1), ('type', 1), ('diabetes', 1)]"
Alahist LQ,Allergic Rhinitis,10.0,1.0,0.0,"[('taking', 3), ('month', 3), ('bone', 2), ('showed', 2), ('actonel', 2)]"
Alavert D-12 Hour Allergy and Sinus,Allergic Rhinitis,1.0,1.0,0.0,"[('actos', 7), ('mg', 5), ('almost', 3), ('year', 3), ('cancer', 3)]"
Albendazole,Pinworm Infection (Enterobius vermicularis),8.0,0.0,1.0,"[('used', 2), ('surgery', 2), ('second', 1), ('cataract', 1), ('no', 1)]"
Albenza,Pinworm Infection (Enterobius vermicularis),8.0,1.0,0.0,"[('eye', 4), ('drop', 2), ('pressure', 2), ('dry', 1), ('use', 1)]"
Albiglutide,"Diabetes, Type 2",7.0,1.0,1.0,"[('cold', 19), ('sore', 18), ('day', 11), ('zovirax', 8), ('cream', 7)]"
Albuterol,"Asthma, acute",1.5,9.0,11.0,"[('day', 19), ('sore', 17), ('outbreak', 12), ('herpes', 11), ('mg', 10)]"
Albuterol / ipratropium,"COPD, Maintenance",8.0,2.0,2.0,"[('outbreak', 8), ('day', 7), ('not', 6), ('year', 6), ('take', 5)]"
Alcaftadine,"Conjunctivitis, Allergic",1.5,4.0,2.0,"[('used', 1), ('limited', 1), ('dose', 1), ('every', 1), ('day', 1)]"
Alclometasone,Atopic Dermatitis,9.0,1.0,0.0,"[('always', 3), ('work', 3), ('day', 3), ('doctor', 2), ('given', 2)]"
Aldactazide,Edema,9.0,0.0,1.0,"[('acne', 47), ('aczone', 41), ('skin', 37), ('face', 20), ('week', 20)]"
Aldactone,Heart Failure,10.0,2.0,0.0,"[('adalat', 1), ('mg', 1), ('help', 1), ('high', 1), ('blood', 1)]"
Aldara,Basal Cell Carcinoma,9.0,4.0,3.0,"[('pain', 23), ('humira', 19), ('back', 13), ('year', 10), ('no', 9)]"
Aldesleukin,Renal Cell Carcinoma,10.0,0.0,1.0,"[('humira', 7), ('month', 6), ('injection', 4), ('medication', 3), ('felt', 3)]"
Alendronate,Prevention of Osteoporosis,1.0,7.0,0.0,"[('year', 4), ('ago', 3), ('humira', 3), ('left', 2), ('bowel', 2)]"
Alesse,Birth Control,6.0,20.0,12.0,"[('year', 10), ('humira', 7), ('crohn', 6), ('time', 6), ('month', 6)]"
Aleve,Back Pain,3.5,18.0,2.0,"[('week', 4), ('humira', 3), ('injection', 3), ('month', 2), ('improvement', 2)]"
Alfuzosin,Benign Prostatic Hyperplasia,7.5,9.0,1.0,"[('psoriasis', 7), ('hand', 6), ('foot', 4), ('medication', 4), ('lesion', 3)]"
Alirocumab,High Cholesterol,5.5,3.0,1.0,"[('psoriasis', 25), ('humira', 24), ('year', 18), ('month', 13), ('work', 11)]"
Aliskiren,High Blood Pressure,8.0,6.0,0.0,"[('psoriasis', 9), ('year', 9), ('humira', 7), ('arthritis', 6), ('injection', 5)]"
Aliskiren / hydrochlorothiazide,High Blood Pressure,10.0,0.0,1.0,"[('humira', 20), ('pain', 15), ('no', 14), ('not', 14), ('year', 11)]"
Alka-Seltzer Plus Cold,Cold Symptoms,5.0,1.0,0.0,"[('went', 1), ('inflammation', 1), ('almost', 1), ('joint', 1), ('nothing', 1)]"
Allegra,Allergic Rhinitis,9.0,13.0,2.0,"[('humira', 2), ('colitis', 2), ('lost', 2), ('also', 2), ('life', 2)]"
Allegra Allergy,Allergic Rhinitis,1.0,1.0,0.0,"[('skin', 82), ('acne', 66), ('differin', 44), ('face', 42), ('using', 39)]"
Allegra-D 12 Hour,Allergic Rhinitis,9.0,0.0,1.0,"[('skin', 238), ('acne', 172), ('epiduo', 156), ('face', 133), ('using', 97)]"
Allegra-D 24 Hour,Allergic Rhinitis,7.0,3.0,0.0,"[('medicine', 3), ('like', 1), ('first', 1), ('headache', 1), ('symptom', 1)]"
Allergy DN PE,Rhinitis,10.0,1.0,0.0,"[('adderall', 70), ('year', 41), ('not', 38), ('mg', 37), ('day', 34)]"
Allerx Dose Pack DF,Rhinitis,9.0,1.0,1.0,"[('adderall', 6), ('something', 4), ('stay', 3), ('take', 3), ('side', 3)]"
Alli,Obesity,7.0,12.0,3.0,"[('adderall', 34), ('xr', 24), ('mg', 21), ('feel', 20), ('not', 15)]"
Allopurinol,Gout,8.0,8.0,1.0,"[('adderall', 5), ('mg', 5), ('xr', 4), ('work', 3), ('took', 3)]"
Almotriptan,Migraine,9.0,8.0,1.0,"[('husband', 2), ('forgot', 2), ('medication', 2), ('work', 2), ('desire', 2)]"
Alosetron,Irritable Bowel Syndrome,10.0,3.0,0.0,"[('heart', 3), ('dose', 3), ('head', 3), ('rate', 3), ('like', 3)]"
Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,10.0,0.0,1.0,"[('lb', 29), ('weight', 21), ('day', 20), ('lost', 15), ('energy', 14)]"
Alphagan P,"Glaucoma, Open Angle",1.5,2.0,0.0,"[('lb', 88), ('weight', 80), ('day', 69), ('adipex', 63), ('lost', 63)]"
Alprazolam,Anxiety,10.0,158.0,61.0,"[('increased', 3), ('loss', 2), ('increase', 2), ('better', 1), ('concentration', 1)]"
Alprazolam Intensol,Panic Disorde,9.0,1.0,0.0,"[('yaz', 3), ('well', 2), ('long', 2), ('break', 2), ('get', 2)]"
Alprostadil,Erectile Dysfunction,9.0,15.0,5.0,"[('day', 13), ('asthma', 13), ('advair', 12), ('not', 10), ('use', 7)]"
Alrex,Conjunctivitis,5.0,1.0,1.0,"[('day', 3), ('advair', 3), ('even', 3), ('not', 2), ('min', 2)]"
Altabax,Impetig,9.0,0.0,3.0,"[('seretide', 4), ('puff', 2), ('twice', 2), ('day', 2), ('christmas', 2)]"
Altace,High Blood Pressure,9.0,1.0,2.0,"[('mouth', 4), ('breath', 3), ('rinse', 3), ('take', 2), ('advair', 2)]"
Altavera,Birth Control,3.0,1.0,0.0,"[('extremely', 1), ('effective', 1), ('take', 1), ('several', 1), ('week', 1)]"
Aluminum chloride hexahydrate,Hyperhidrosis,10.0,75.0,38.0,"[('day', 3), ('used', 1), ('advil', 1), ('treat', 1), ('gout', 1)]"
Aluminum hydroxide / magnesium hydroxide / simethicone,GERD,10.0,0.0,1.0,"[('advil', 4), ('pain', 4), ('take', 3), ('headache', 3), ('stomach', 3)]"
Alvesco,Asthma,9.5,1.0,1.0,"[('started', 2), ('everything', 2), ('soon', 1), ('took', 1), ('blurry', 1)]"
AmLactin,Dry Skin,10.0,0.0,1.0,"[('pain', 2), ('away', 2), ('like', 2), ('love', 1), ('product', 1)]"
Amantadine,Head Injury,8.0,2.0,2.0,"[('taking', 1), ('mg', 1), ('ibuprofen', 1), ('persistent', 1), ('sciatica', 1)]"
Amaryl,"Diabetes, Type 2",7.0,5.0,0.0,"[('sinus', 5), ('day', 4), ('headache', 3), ('migraine', 3), ('medication', 3)]"
Ambien,Insomnia,9.0,63.0,32.0,"[('brand', 3), ('best', 1), ('medicine', 1), ('open', 1), ('ear', 1)]"
Ambien CR,Insomnia,7.5,11.0,3.0,"[('severe', 2), ('work', 2), ('suffering', 1), ('body', 1), ('pain', 1)]"
Ambrisentan,Pulmonary Hypertension,10.0,4.0,1.0,"[('absolutely', 1), ('could', 1), ('not', 1), ('survived', 1), ('pain', 1)]"
Amcinonide,Dermatitis,10.0,0.0,1.0,"[('xr', 4), ('adderall', 3), ('take', 3), ('day', 3), ('month', 3)]"
Amerge,Migraine,9.0,4.0,2.0,"[('fantastic', 1), ('medicine', 1)]"
Amethia,Birth Control,8.0,1.0,2.0,"[('dont', 1), ('side', 1), ('effect', 1), ('mild', 1), ('tiredness', 1)]"
Amethia Lo,Birth Control,8.5,2.0,0.0,"[('eye', 4), ('left', 3), ('injection', 3), ('avastin', 2), ('no', 2)]"
Amethyst,Birth Control,2.0,1.0,0.0,"[('eylea', 7), ('injection', 7), ('eye', 4), ('year', 3), ('amd', 2)]"
Amikacin,Cystic Fibrosis,1.0,1.0,0.0,"[('afrezza', 6), ('day', 5), ('hour', 4), ('using', 4), ('sugar', 3)]"
Amiodarone,Arrhythmia,8.0,5.0,3.0,"[('afrezza', 7), ('month', 4), ('insulin', 4), ('not', 3), ('pay', 3)]"
Amitiza,"Constipation, Chronic",8.5,31.0,7.0,"[('bottle', 9), ('use', 8), ('cap', 6), ('time', 6), ('open', 5)]"
Amitriptyline,Migraine Prevention,9.0,180.0,44.0,"[('symptom', 2), ('relief', 1), ('nose', 1), ('not', 1), ('dry', 1)]"
Amitriptyline / chlordiazepoxide,Depression,9.0,1.0,0.0,"[('day', 20), ('not', 18), ('aftera', 17), ('period', 17), ('took', 14)]"
Amitriptyline / perphenazine,Anxiety,9.5,2.0,0.0,"[('plavix', 3), ('side', 2), ('effect', 2), ('stroke', 2), ('advised', 2)]"
Amlodipine,High Blood Pressure,3.0,60.0,10.0,"[('medicine', 1), ('hayfever', 1), ('cold', 1), ('leaky', 1), ('sinus', 1)]"
Amlodipine / atorvastatin,High Blood Pressure,5.5,1.0,1.0,"[('pill', 3), ('taking', 2), ('worst', 1), ('ever', 1), ('took', 1)]"
Amlodipine / benazepril,High Blood Pressure,7.5,4.0,0.0,"[('effect', 2), ('tab', 2), ('far', 1), ('given', 1), ('son', 1)]"
Amlodipine / hydrochlorothiazide / olmesartan,High Blood Pressure,7.5,4.0,0.0,"[('even', 2), ('yes', 2), ('son', 1), ('husband', 1), ('took', 1)]"
Amlodipine / olmesartan,High Blood Pressure,9.0,9.0,10.0,"[('started', 2), ('not', 2), ('sure', 2), ('tanzeum', 1), ('apr', 1)]"
Amlodipine / telmisartan,High Blood Pressure,9.5,1.0,1.0,"[('medication', 2), ('seems', 2), ('also', 2), ('related', 2), ('throat', 2)]"
Amlodipine / valsartan,ge (amlodipine / valsartan),6.0,4.0,3.0,"[('inhaler', 6), ('not', 6), ('asthma', 5), ('use', 4), ('get', 4)]"
Ammonium lactate,Dry Skin,10.0,1.0,2.0,"[('not', 3), ('side', 2), ('effect', 2), ('due', 2), ('one', 2)]"
Ammonium lactate / halobetasol,Psoriasis,10.0,1.0,0.0,"[('absolutely', 1), ('nothing', 1), ('used', 1), ('hfa', 1), ('effective', 1)]"
Amnesteem,Acne,7.0,4.0,0.0,"[('medication', 2), ('used', 2), ('prescribed', 1), ('several', 1), ('maintenance', 1)]"
Amoxapine,Depression,9.5,0.0,2.0,"[('not', 4), ('first', 3), ('even', 3), ('inhaler', 3), ('help', 3)]"
Amoxicillin,Bacterial Infection,8.0,24.0,8.0,"[('eye', 13), ('drop', 9), ('lastacaft', 8), ('day', 6), ('like', 5)]"
Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,8.0,9.0,4.0,"[('work', 1), ('well', 1), ('poison', 1), ('ivy', 1), ('preferred', 1)]"
Amoxicillin / clavulanate,Sinusitis,6.0,81.0,20.0,"[('diuretic', 2), ('mostly', 1), ('prescribed', 1), ('high', 1), ('blood', 1)]"
Amoxil,Pneumonia,9.5,1.0,1.0,"[('retin', 2), ('almost', 1), ('year', 1), ('tried', 1), ('everything', 1)]"
Amphetamine,ADHD,6.0,6.0,4.0,"[('no', 1), ('swollen', 1), ('foot', 1), ('ankle', 1)]"
Amphetamine / dextroamphetamine,ADHD,9.0,94.0,31.0,"[('week', 5), ('like', 4), ('face', 4), ('time', 4), ('used', 3)]"
Ampyra,Multiple Sclerosis,9.0,6.0,4.0,"[('aldara', 7), ('week', 5), ('day', 5), ('wart', 4), ('one', 3)]"
Amrix,Muscle Spasm,8.5,5.0,1.0,"[('possible', 1), ('side', 1), ('effect', 1), ('lower', 1), ('backache', 1)]"
Anacin,Pain,10.0,2.0,0.0,"[('rcc', 2), ('told', 2), ('month', 2), ('course', 2), ('cancer', 2)]"
Anafranil,Obsessive Compulsive Disorde,9.0,11.0,1.0,"[('pain', 5), ('not', 5), ('severe', 3), ('osteoporosis', 2), ('low', 2)]"
Anakinra,Schnitzler Syndrome,10.0,0.0,1.0,"[('pain', 8), ('day', 3), ('no', 2), ('severe', 2), ('chest', 2)]"
Analpram-HC,Hemorrhoids,10.0,0.0,1.0,"[('loss', 3), ('alesse', 2), ('little', 2), ('year', 2), ('first', 2)]"
Anaprox,Back Pain,7.0,1.0,2.0,"[('alesse', 30), ('pill', 28), ('month', 26), ('period', 25), ('acne', 25)]"
Anastrozole,Breast Cance,5.0,27.0,8.0,"[('back', 5), ('pain', 5), ('lower', 2), ('take', 2), ('least', 2)]"
AndroGel,"Hypogonadism, Male",9.0,15.0,8.0,"[('really', 3), ('gout', 2), ('pill', 2), ('well', 1), ('went', 1)]"
Androderm,"Hypogonadism, Male",8.0,1.0,2.0,"[('help', 1), ('give', 1), ('terrible', 1), ('heart', 1), ('burn', 1)]"
Angeliq,Postmenopausal Symptoms,9.5,2.0,4.0,"[('work', 1), ('great', 1), ('gave', 1), ('severe', 1), ('stomach', 1)]"
Angiomax,Percutaneous Coronary Intervention,10.0,0.0,1.0,"[('no', 1), ('effective', 1), ('longer', 1), ('lasting', 1), ('aspirin,nothing', 1)]"
Anoro Ellipta,COPD,9.5,4.0,0.0,"[('aleve', 2), ('take', 2), ('hour', 2), ('pain', 1), ('killer', 1)]"
Ansaid,Period Pain,8.0,1.0,0.0,"[('killed', 1), ('stomach', 1), ('never', 1), ('problem', 1), ('taking', 1)]"
Antabuse,Alcohol Dependence,9.5,13.0,3.0,"[('aleve', 8), ('pain', 8), ('relief', 5), ('also', 3), ('tried', 3)]"
Antara,Hypertriglyceridemia,1.0,1.0,0.0,"[('pain', 3), ('aleve', 2), ('helped', 1), ('took', 1), ('pilll', 1)]"
Anti-Diarrheal,Diarrhea,10.0,1.0,1.0,"[('pain', 2), ('little', 1), ('relief', 1), ('finished', 1), ('pt', 1)]"
Antihemophilic factor,Hemophilia A,9.0,1.0,0.0,"[('day', 8), ('not', 6), ('month', 5), ('every', 5), ('problem', 4)]"
Antipyrine / benzocaine,Otitis Media,10.0,2.0,0.0,"[('statin', 6), ('effect', 6), ('injection', 5), ('side', 5), ('shot', 4)]"
